Id,Title,Artist,Genre,Release,Rating
2321,Reflection on a Double Strung Harp [CD],Sue Hoadley,New Age,07/11/07,
2322,Soothing Music for Sleep [CD],Jeffrey D. Thompson & Harmonix Ensemble,New Age,07/09/02,
2323,Spirit of Tibet [CD],Terry Oldfield,New Age,11/10/09,
2324,Infinite Melody [CD],Barbara Bryan,New Age,05/27/2008,
2325,Tubular Beats [CD],Mike Oldfield,New Age,03/05/13,
2326,Heavy Petal: The Tenebrous Odyssey of Jack and Virginia [CD],Mask,New Age,02/17/2009,
2327,Riders on the Storm: The Doors Concerto [CD],Jaz Coleman,Classical,10/10/00,
2328,Techno Picker [CD],Adrian Legg,New Age,03/10/17,
2329,Guitar Soli [CD],Robbie Basho,Folk,01/27/1997,
2330,Mystic Chords & Sacred Spaces [CD],Steve Roach,New Age,06/03/03,
2331,Glidepath [CD],Kit Morgan,New Age,05/25/2010,
2332,Chakradance [CD],Jonathan Goldman,New Age,06/08/04,
2333,Kidz Bop 36 [CD],Kidz Bop Kids,Children's,10/13/2017,
2334,Californication [LP] [PA],Red Hot Chili Peppers,Pop,06/03/08,4.9
2335,Better Nature [CD],Silversun Pickups,Pop,09/25/2015,4.5
2336,Super [CD],Pet Shop Boys,Electronic/Dance,04/01/16,4.3
2337,Sticks + Stones [CD],Cher Lloyd,Pop,05/05/17,4.8
2338,Mental Illness [CD],Aimee Mann,Pop,03/31/2017,4.6
2339,Live at Red Rocks 8.15.95 [LP] - VINYL,Dave Matthews Band,Pop,06/30/2017,5
2340,Rise [Only @ Best Buy] [CD],Sixx:A.M.,Pop,04/15/2016,4.5
2341,Mindfucker [CD],Monster Magnet,Pop,03/23/2018,
2342,This House Is Not for Sale [CD],Bon Jovi,Pop,11/04/16,4.4
2343,In Rainbows [180 Gram Vinyl] [LP] - VINYL,Radiohead,Pop,05/20/2016,4
2344,Yoshimi Battles the Pink Robots [Picture Disc],The Flaming Lips,Pop,09/29/2017,
2345,Now That's What I Call Music! 56 [CD],Various Artists,Country,10/30/2015,4.5
2346,Thrill of It All [International Special Edition] [LP] - VINYL,Sam Smith,Pop,11/03/17,5
2347,Whitesnake [LP] - VINYL,Whitesnake,Pop,10/06/17,5
2348,Dookie [LP] - VINYL,Green Day,Pop,09/29/2017,
2349,Connect the Dots [CD] [PA],MisterWives,Pop,05/19/2017,5
2350,Please Please Me [Enhanced CD],The Beatles,Pop,09/09/09,5
2351, Only Human [CD],Calum Scott,Pop,03/09/18,
2352,Some Hearts [CD],Carrie Underwood,Country,11/15/2005,4.8
2353,All the Light Above It Too [LP] - VINYL,Jack Johnson,Pop,09/08/17,
2354,Pizazz [LP] - VINYL,Pigeons Playing Ping Pong,Pop,01/26/2018,
2355,Breaking the Chains [Remastered] [Deluxe] [CD],Dokken,Pop,01/28/2014,5
2356,Through the Years: The Best of the Fray [CD],The Fray,Pop,11/04/16,4.8
2357,Sustaining Cylinders [CD],Michael Stearns,New Age,02/05/09,
2358,Yoga Chants [CD],Richard Freeman,New Age,04/12/05,
2359,"Lovely Pregnancy, Vol. 2 [CD]",Raimond Lap,Children's,09/01/08,
2360,Once in a Red Moon [CD],Secret Garden,New Age,02/14/2012,
2361,Ocean of Grace [CD],Prema Hara,World,05/13/2014,
2362,Starfish [CD],Catriona McKay,Folk,10/30/2007,
2363,Soul to Chill [CD],Various Artists,New Age,02/24/2015,
2364,Longing for the Light [CD],Jerry Fjerkenstad,New Age,06/15/2004,
2365,Music for Yoga [Domo] [CD],Various Artists,New Age,02/06/07,
2366,Wenn Der S³dwind Weht (LP) [LP] - VINYL,Hans-Joachim Roedelius,Electronic/Dance,02/16/2010,
2367,Lanoiah [CD],Al Gromer Khan,New Age,10/28/2008,
2368,"Charlie Huskinson: Another World, Vol. 1 [CD]",Mario Montagna,Classical,05/27/2014,
2369,Planet Drum [CD],Mickey Hart,World,12/02/16,
2370,Masters of Chant: Chapter VI [CD],Gregorian,New Age,10/20/2009,
2371,The Chandrasekhar Limit [CD],Zenit,New Age,02/12/13,
2372,Songlines [CD],Heinrich von Kalnein,New Age,02/02/10,
2373,Aromatherapy Energizing [CD],Various Artists,New Age,09/07/04,
2374,"The Microcosm: Visionary Music of Continental Europe, 1970-1986 [CD]",Various Artists,Avant-Garde,11/18/2016,
2375,Traditional Music of Ireland [Celtophile 2009] [CD],Various Artists,World,04/07/09,
2376,Impromptu - Solo Piano [CD],Neil Patton,New Age,12/14/2007,
2377,Endorfinas en la Mente [CD],Chambao,World,01/13/2008,
2378,Volume 1: Sound Magic [CD],Afro Celt Sound System,New Age,05/29/2012,
2379,Songs of Mary: Devotional Music and Chants [CD],San Antonio Vocal Arts Ensemble,Classical,09/28/2010,
2380,Kosmos [CD],Tomita,Avant-Garde,10/30/2007,
2381,Day Breaks [CD],Norah Jones,Pop,10/07/16,4.3
2382,The Best of Talking Heads [CD],Talking Heads,Pop,08/17/2004,4.6
2383,"Save Rock and Roll [10""] [10 inch LP]",Fall Out Boy,Pop,04/16/2013,4.8
2384,Blue [LP] - VINYL,Joni Mitchell,Pop,01/23/2007,5
2385,Icon: Motown Christmas [CD],Various Artists,R&B Soul,09/17/2013,4.5
2386, Black Heaven [CD],Earthless,Pop,03/16/2018,
2387,Creatures of the Night [180-Gram Vinyl] [LP] - VINYL,Kiss,Pop,10/14/2014,5
2388,20th Century Masters: The Millennium Collection: Best of Boyz II Men [CD],Boyz II Men,R&B Soul,10/07/03,4.7
2389,A Boy Named Goo [20th Anniversary Edition] [CD],Goo Goo Dolls,Pop,11/27/2015,5
2390,Holy Diver [CD],Dio,Pop,10/25/1990,4.8
2391,Too Fast for Love [Crücial Crüe Edition] [CD],Mötley Crüe,Pop,09/30/2008,4.8
2392,Sultans of Swing: The Very Best of Dire Straits [CD],Dire Straits,Pop,10/27/1998,4.7
2393,The Great Southern Trendkill [CD] [PA],Pantera,Pop,05/07/96,4.7
2394,Eyes Wide Open [Enhanced CD],Sabrina Carpenter,Pop,04/14/2015,5
2395,Beneath the Skin [CD],Of Monsters and Men,Pop,06/09/15,4.6
2396,The High End of Low [CD] [PA],Marilyn Manson,Pop,05/26/2009,5
2397, The  History of [CD],Marilyn Manson,Pop,03/09/18,
2398,Endless Forms Most Beautiful [Deluxe Edition] [CD],Nightwish,Pop,03/31/2015,4.5
2399,Light Me Up [Bonus Track] [CD],The Pretty Reckless,Pop,04/12/11,4.7
2400,Original Album Classics: 5 Albums [CD],Journey,Pop,05/28/2013,4.8
2401,Picking Up the Pieces [CD],Jewel,Country,09/11/15,4.5
2402,Fair Warning [CD],Van Halen,Pop,07/10/15,4.7
2403,The  Best of Pink Floyd: A Foot in the Door [CD],Pink Floyd,Pop,11/08/11,4.7
2404,Amy [Original Motion Picture Soundtrack] [CD],Amy Winehouse,Pop,10/30/2015,4.8
2405,All Your Favorite Bands [CD],Dawes,Pop,06/02/15,4.5
2406,Badmotorfinger [CD],Soundgarden,Pop,10/08/91,4.7
2407,Love Yourself: Her [CD],BTS,Pop,10/04/17,4.9
2408,Darkness on the Edge of Town [CD],Bruce Springsteen,Pop,06/16/2015,5
2409,The Essential Aerosmith [CD],Aerosmith,Pop,09/13/2011,5
2410,Popestar [CD],Ghost,Pop,09/16/2016,4.3
2411,Pure McCartney [CD],Paul McCartney,Pop,06/10/16,4.8
2412,Ammonia Avenue [CD],The Alan Parsons Project,Pop,01/27/2009,5
2413,The Ultimate Collection [CD],John Denver,Country,09/27/2011,5
2414,Nothing Has Changed [Bonus Disc] [CD],David Bowie,Pop,11/17/2014,4.7
2415,1962-1966 [CD],The Beatles,Pop,10/19/2010,5
2416,Hard Feelings [CD],blessthefall,Gospel & Christian,03/23/2018,
2417,Wide Open [CD],Michael McDonald,Pop,09/15/2017,4.2
2418,You're Driving Me Crazy [CD],Joey DeFrancesco,Pop,04/27/2018,
2419,Blood [CD],Rhye,Pop,02/02/18,
2420,The 70s: Elvis Presley [CD],Elvis Presley,Country,09/09/14,5
2421,Me and My Broken Heart [CD],Rixton,Pop,05/13/2014,
2422,Joanne [LP] - VINYL,Lady Gaga,Pop,12/16/2016,4.8
2423,Playlist: The Very Best of Deborah Cox [CD],Deborah Cox,R&B Soul,10/15/2013,
2424,Grease for Peace: The Best of Sha Na Na [CD],Sha Na Na,Pop,08/06/02,
2425,Diamonds [CD],Elton John,Pop,11/10/17,
2426,Jackpot: The Best Bette [CD],Bette Midler,Vocal,09/23/2008,5
2427,Atomic Blonde [Original Motion Picture Soundtrack] [CD],Original Motion Picture Soundtrack,Pop,07/28/2017,4
2428,Aurora Rising [CD],Melissa Higginbotham,New Age,01/04/12,
2429,This [CD],Amitabhan,New Age,10/10/10,
2430,Svasckperretstarck [CD],Poussières D'etoiles,New Age,06/24/2008,
2431,Ensoulment [CD],Wyld Olde Souls,New Age,04/20/2011,
2432,One out of Five [CD],Frank Van Bogaert,New Age,01/03/06,
2433,Sounds of Nature: A Nocturne of Nightingales [CD],Sounds Of Nature,New Age,11/06/07,
2434,Serenidad [CD],Awankana,New Age,03/01/95,
2435,Varekai [2004] [CD],Cirque du Soleil,World,07/27/2004,
2436,Transitions [CD],Steven Halpern,New Age,02/05/02,
2437,Introduction [CD],Marty Friedman,New Age,11/08/94,
2438,Sweet Fellowship [CD],Acappella,Gospel & Christian,12/16/2004,
2439,Feet in the Soil [CD],James Asher,New Age,11/18/2014,
2440,"A Farewell to Nothing: The Diary, Pt. 1 [CD]",Inmoria,New Age,11/15/2011,
2441,Healthy Pregnancy in a Box [CD],Annie Lawler,New Age,03/04/08,
2442,A Warning From the Elders [CD],Byron Metcalf,New Age,02/08/08,
2443,I Remember [CD],Cynthia Hart,New Age,06/17/2016,
2444,Taproot [CD],Michael Hedges,New Age,02/01/11,
2445,Broomsage Hollar [CD],Chris Carlisle,New Age,07/04/06,
2446,Masters of Chant [CD],Gregorian,New Age,10/27/2009,
2447,Crystal Garden [CD],Bola Sete,Easy Listening,12/29/2011,
2448,Yoga Zone: Music for Meditation [CD],Various Artists,Jazz,09/15/1998,
2449,16 Great Contemporary Christian Classics [CD],Various Artists,Gospel & Christian,12/17/2002,
2450,Night Wind [CD],Jae Young Shin,New Age,11/13/2012,
2451,Peace on Earth [LP] - VINYL,Kitaro,New Age,12/08/09,
2452,Grooves For Odd Times [CD],River Guerguerian,World,01/01/12,
2453,Awakened Mind System [CD],Jeffrey D. Thompson,New Age,06/03/03,
2454,Candlelight Moments: Meditative Moments [CD],Various Artists,Jazz,09/12/06,
2455,A  Sense of Peace [CD],Various Artists,New Age,07/28/2017,
2456,Buddhist Chants [CD],Various Artists,New Age,05/01/12,
2457,Learn to Pronounce Yoga Poses [CD],Manorama,World,03/22/2007,
2458,Zen Waves [CD],P.C. Davidoff,New Age,02/21/2012,
2459,Mercy Song [CD],Mercedes Bahleda,World,11/19/2013,
2460,Sisters: Oneida Iroquois Hymns [CD],Elizabeth Roberts,World,07/29/2003,
2461,With Love [CD],Ex Confusion,New Age,07/09/13,
2462,Far Go [CD],Al Gromer Khan,New Age,02/25/2013,
2463,What Child Is This [CD],Dean Evenson,New Age,09/18/1993,
2464,Mindfulness For Busy People [CD],Patricia A. Bloom,New Age,03/05/08,
2465,3rd Eye Rising [CD],Paradiso & Rasamayi,New Age,02/01/11,
2466,"Stand Up Before Me, Oh My Soul! [CD]",Fabio Orsi,New Age,01/18/2011,
2467,The Last Waking Moment [CD],David Nevue,New Age,06/03/03,
2468,Incantations [CD],Mike Oldfield,New Age,09/20/2011,
2469,Anxiety Relief [CD],Martin Rossman,New Age,05/25/2010,
2470,Solaris Universalis [CD],Patrick Bernard,New Age,04/01/11,
2471,Sounds of HIV: Music Transcribed from DNA [CD],Alexandra Pajak,Classical,10/26/2010,
2472,Now Our Minds Are One [CD],Lawrence Laughing,New Age,07/25/2000,
2473,"Classical Relax, Vol. 1 [CD]",Various Artists,New Age,04/08/14,
2474,Sounds of Nature: Frog Talk [CD],Sounds Of Nature,New Age,11/06/07,
2475,Kazeno Kagami [CD],Yuriko Nakamura,New Age,08/06/01,
2476,Let’s Go Crazy [12 inch Vinyl Single],Prince,Electronic/Dance,11/21/1990,5
2477,The Best of Bread [CD],Bread,Pop,06/19/2001,4.7
2478,Back to Front: Live in London [Video] [Blu-Ray Disc],Peter Gabriel,Pop,06/24/2014,5
2479,Frequency Unknown [CD],Queensrÿche,Pop,11/03/14,
2480,Christmas [CD],Al Jarreau,Holiday,10/14/2008,4.7
2481,Escape [CD],Journey,Pop,08/01/06,5
2482,Rock in the Park 2001 [CD & DVD],Limp Bizkit,Pop,02/25/2014,5
2483,The Great Unknown [CD],Rob Thomas,Pop,08/21/2015,4.7
2484,Iowa [CD] [PA],Slipknot,Pop,08/28/2001,4.5
2485,Justified [CD],Justin Timberlake,Pop,11/05/02,4.5
2486,X&Y [Limited Edition] [LP] - VINYL,Coldplay,Pop,09/02/08,
2487,John Denver's Greatest Hits [CD],John Denver,Folk,05/26/2015,4.5
2488,Live in San Diego  [With Special Guest JJ Cale] [Blu-Ray Disc],Eric Clapton,Pop,03/10/17,4.8
2489,Way Down in the Jungle Room [CD],Elvis Presley,Country,08/12/16,4.7
2490,War Eternal [CD],Arch Enemy,Pop,06/10/14,4.6
2491,Yellow Submarine Songtrack [CD],The Beatles,Soundtracks & Shows,06/05/12,5
2492,The Way of the Fist [Deluxe Iron Fist Edition] [CD] [PA],Five Finger Death Punch,Pop,11/22/2010,4.7
2493,El Camino [Bonus CD] [LP] - VINYL,The Black Keys,Pop,12/06/11,5
2494,Phobia [Enhanced CD] [CD] [PA],Breaking Benjamin,Pop,11/30/2009,4.7
2495,Under a Blood Red Sky [LP] - VINYL,U2,Pop,10/14/2008,5
2496,On Divine Winds [CD],Hail of Bullets,Pop,10/12/10,
2497,Enema of the State [CD] [PA],blink-182,Pop,06/01/99,4.2
2498,Fever [CD],Bullet for My Valentine,Pop,04/27/2010,4.6
2499,As Time Goes By [Bonus Track] [CD],Carpenters,Pop,04/13/2004,5
2500,Volume 5: Anatomic [CD],Afro Celt Sound System,World,10/07/08,
2501,Best of Betsy Sise: Unique Solo Piano Compositions [CD],Betsy Sise,New Age,03/10/17,
2502,"Love's Magic, Vol. 2: An Eversound Song Collection [Digital Download]",Various Artists,New Age,08/08/06,
2503,Gift from Antique Piano [CD],Richard Clayderman,Easy Listening,06/18/2007,
2504,Voyage To Paradise [CD],Matthew Lien,New Age,03/21/2000,
2505,Italian Nights [CD],David Arkenstone,New Age,01/27/2017,
2506,"Funk Essentials: The 12"" Collection & More [CD]",Parliament,R&B Soul,05/18/1999,4.1
2507,There's Something About That Name [CD],Bill Gaither,Gospel & Christian,12/27/2005,
2508,Blue Dream [CD],Fiona Joy,New Age,04/24/2009,
2509,The Tudors Season 2 [Original Series Soundtrack] [CD],Trevor Morris,Soundtracks & Shows,04/14/2009,
2510,Elephantism [CD],Ryuichi Sakamoto,Electronic/Dance,06/11/02,
2511,The Golden Wire [CD],Andy Summers,New Age,03/10/15,
2512,The Heroin Diaries Soundtrack [CD] [PA],Sixx:A.M.,Pop,08/21/2007,4.7
2513,Pure Cult: The Singles 1984-1995 [CD],The Cult,Pop,06/06/00,4.8
2514,You and I [CD],Jeff Buckley,Pop,03/11/16,4.5
2515,101 80s Hits [Spectrum] [CD],Various Artists,Pop,06/02/17,4.5
2516,Pretty. Odd. [LP] - VINYL,Panic! At the Disco,Pop,02/10/09,5
2517,Universal Mother [CD],Indiajiva,New Age,12/26/2006,
2518,Incandescence [CD],Chuck Brown,New Age,10/12/04,
2519,Awakening Your Creative Fire: Meditations for Transformation [CD],Harnam,New Age,05/06/16,
2520,Kollektion 01: Sky Records Compiled by Tim Gane [CD],Various Artists,New Age,09/30/2014,
2521,Every Tendril a Wish [CD],Bonnie Miksch,New Age,05/20/2014,
2522,Yoga für Anfänger [Deluxe Edition] [CD],Canda,New Age,02/10/15,
2523,Pet Sounds [50th Anniversary Stereo Edition] [LP] - VINYL,The Beach Boys,Pop,06/10/16,4.7
2524,Book of Souls: The Live Chapter [LP] - VINYL,Iron Maiden,Pop,11/17/2017,5
2525,Romantic Waikiki [CD],Na Leo,World,01/29/2013,
2526,"Greatest Hits, Vols. 1 & 2 [CD]",Queen,Pop,11/14/1995,4
2527,Photographs & Memories: His Greatest Hits [CD],Jim Croce,Pop,09/19/1995,4.8
2528,Lawless [Original Motion Picture Soundtrack] [CD],The Bootleggers,Soundtracks & Shows,08/28/2012,5
2529,Ephemera [CD],Carla Lother,New Age,02/27/2001,
2530,Ameya [CD],Brenda McMorrow,New Age,03/09/10,
2531,You Light up My Life: Greatest Inspirational Songs [CD],Debby Boone,Gospel & Christian,04/03/01,
2532,"Sleep Soundly, Vol. 2 [CD]",Steven Halpern,New Age,11/03/17,
2533,Unsung [CD],Robbie McIntosh,New Age,08/22/2000,
2534,Golden Atlantis [CD],Andrew Brel,New Age,07/27/2004,
2535,The  Ritchie Blackmore Story [Blu-Ray Disc],,,01/22/2016,4.6
2536,Mono [CD],The Mavericks,Country,02/17/2015,5
2537,Adrenalize [CD],Def Leppard,Pop,03/31/1992,4.5
2538,The Beatles' Second Album [CD],The Beatles,Pop,01/21/2014,5
2539,Evolution [CD],Sabrina Carpenter,Pop,10/14/2016,4.8
2540,Sigh No More [LP] - VINYL,Mumford & Sons,Pop,05/18/2010,4.4
2541,"16 Great Bluegrass Gospel Classics, Vol. 2 [CD]",Various Artists,Gospel & Christian,09/05/06,
2542,Shout at the Devil [Crücial Crüe Edition] [CD],Mötley Crüe,Pop,09/30/2008,4.9
2543,Death & Legacy [CD],Serenity,Pop,03/15/2011,
2544,Greatest Hits + Five Unreleased [CD],Steve Perry,Pop,10/03/06,3.7
2545,20th Century Masters-The Millennium Collection: The Best of Glenn Frey [CD],Glenn Frey,Pop,09/19/2000,4.5
2546,The Pleasure Principle [Bonus Tracks] [CD],Gary Numan,Pop,06/23/1998,
2547,Diva [CD],Annie Lennox,Pop,05/12/92,5
2548,Sounds of Light [CD],Crystal Voices,New Age,11/08/04,
2549,Anastasis [CD],Dead Can Dance,New Age,08/14/2012,
2550,Tapestry [Enhanced CD],Michael Hoppé,Easy Listening,09/14/2010,
2551,Music as Medicine [CD],Nawang Khechog,New Age,02/22/2005,
2552,Mercy Song [CD],Mercedes Bahleda,World,03/09/10,
2553,Sky Songs [CD],Blue Eagle,New Age,12/16/2008,
2554,Wellness: Ayurveda [CD],Various Artists,World,10/24/2005,
2555,Flying Home [CD],Chris Conway,Folk,03/25/2008,
2556,"Music to Disappear In, Vol. 2 [CD]",Raphael,New Age,08/04/97,
2557,Long Time Sun: Kundalini Yoga Music [CD],Sarah Hawker,New Age,08/21/2012,
2558,The  Lyrebird: A Documentary Study of Its Song [CD],Peter Bruce,New Age,05/30/2012,
2559,The One Day In The Amazon Basin [CD],Sounds Of Nature,New Age,04/04/03,
2560,Into the Future [CD],Gerald Primeaux,World,07/15/2008,
2561,Silent Dreams [CD],Janina Parvati,New Age,03/17/2011,
2562,Lullabies from Home [CD],Anita Kruse,New Age,03/19/2002,
2563,Lazaretto [LP] - VINYL,Jack White,Pop,06/10/14,4.6
2564,Freedom Child [CD] [PA],The Script,Pop,09/01/17,4.5
2565,Now That's What I Call Music! 50 [CD],Various Artists,R&B Soul,05/06/14,4.4
2566,Decade [3LP] [LP] - VINYL,Neil Young,Pop,06/23/2017,
2567,Thriller [LP] - VINYL,Michael Jackson,Pop,05/06/16,5
2568,Britney [Enhanced CD],Britney Spears,Pop,11/06/01,5
2569,1967-1970 [CD],The Beatles,Pop,10/19/2010,4.7
2570,Spirit [CD],Depeche Mode,Pop,03/17/2017,4.1
2571,Dummy [CD],Portishead,Electronic/Dance,10/17/1994,5
2572,"Party Tyme Karaoke: Oldies Party Pack, Vol. 2 [CD]",Sybersound,Pop,10/17/2006,4.7
2573,Countdown to Extinction [Bonus Tracks] [CD] [PA],Megadeth,Pop,07/27/2004,4.6
2574,The Who by Numbers [CD],The Who,Pop,11/19/1996,5
2575,The Very Best of Jay & the Americans [CD],Jay & the Americans,Pop,05/27/2016,
2576,20th Century Masters: The Millennium Collection - The Best of Steely Dan [CD],Steely Dan,Pop,03/15/2012,5
2577,Icon  [CD],Pat Benatar,Pop,03/19/2013,4.9
2578,Timeless...The Musical Legacy [CD],Badfinger,Pop,12/10/13,4.6
2579,Electrified [CD],Black Water Rising,Pop,11/03/17,4
2580,Arde el Cielo: Vivo [CD/DVD] [CD & DVD],Maná,Latin,04/29/2008,5
2581,Self Inflicted [CD],Chelsea Grin,Pop,07/01/16,4.3
2582,Wonder What's Next [CD],Chevelle,Pop,02/24/2015,3.5
2583,The  End: Live in Los Angeles [Video] [Blu-Ray Disc],Mötley Crüe,Pop,11/04/16,4.6
2584,16 Biggest Hits [CD],Roy Orbison,Pop,01/18/2011,5
2585,Gold: A 50th Anniversary Christmas Celebration [CD],Johnny Mathis,Vocal,10/31/2006,4.7
2586,Alive! [LP] - VINYL,Kiss,Pop,04/01/14,4.1
2587,Greatest Hits: The Immediate Years 1967-1969 [CD],Small Faces,Pop,02/04/14,5
2588,Is This It [CD],The Strokes,Pop,10/09/01,4.5
2589,"PTX, Vol. 2 [CD]",Pentatonix,Vocal,06/03/14,4.5
2590,The Holiday Collection [CD],Kenny G,Jazz,06/13/2006,4.8
2591,Tell Me You Love Me [CD] [PA],Demi Lovato,Pop,09/29/2017,5
2592,The Best of the 60s [CD],Various Artists,Pop,09/28/2010,3.5
2593,New World Record [Bonus Tracks] [CD],Electric Light Orchestra,Pop,09/12/06,4.7
2594,American Beauty/American Psycho [CD],Fall Out Boy,Pop,01/20/2015,4.6
2595,La  Petite Mort or a Conversation with God [CD],King 810,Pop,09/16/2016,4.7
2596,Pale Emperor [Deluxe Edition] [CD] [PA],Marilyn Manson,Pop,01/20/2015,4.5
2597,Millennium [CD],Backstreet Boys,Electronic/Dance,05/18/1999,5
2598,"Party Tyme Karaoke: Girl Pop, Vol. 20 [CD + G]",Karaoke,Pop,08/20/2013,5
2599,The  Divinity of Purpose [CD] [PA],Hatebreed,Pop,01/29/2013,5
2600,The Gang's All Here [CD],Dropkick Murphys,Pop,03/23/1999,5
2601,Facelift [CD],Alice in Chains,Pop,05/26/2015,4.3
2602,Kiss Rocks Vegas [Video] [CD & DVD],Kiss,Pop,08/26/2016,
2603,Best of 90s [CD],Various Artists,Pop,09/28/2010,2.8
2604,How Can It Be [Deluxe Edition] [CD],Lauren Daigle,Gospel & Christian,05/06/16,5
2605,The Ultimate Collection [CD],Poco,Pop,11/17/1998,5
2606,Idolize Yourself: The Very Best of Billy Idol [CD],Billy Idol,Pop,06/24/2008,4.9
2607,From Under the Cork Tree [LP] [Bonus Tracks],Fall Out Boy,Pop,12/16/2016,4.7
2608,Blackbird [CD],Alter Bridge,Pop,10/09/07,4.8
2609,White Devil Armory [CD],Overkill,Pop,07/22/2014,4.8
2610,Country: Conway Twitty [CD],Conway Twitty,Country,05/27/2014,
2611,Sapphire Skies (Alpha Relaxation Solution) [CD],Mick Rossi,New Age,01/30/2007,
2612,Goddess Chant [CD],Shawna Carol,New Age,06/02/98,
2613,Dreams [CD],Bruce Kurnow,New Age,11/03/17,
2614,Skydancing Tantra: A Call to Bliss [CD],Margot Anand,New Age,07/03/01,
2615,Shifting Sands [CD],Ian Boddy,Electronic/Dance,03/22/2011,
2616,Gifts from the Heart [CD],Danny Wright,New Age,10/29/2013,
2617,Songs for the Sangha [CD],Manose,World,06/23/2015,
2618,Mystic Voyage: A Collection [CD],Deuter,New Age,05/26/2015,
2619,The Yoga Sessions: Hang With Angels [CD],Masood Ali Khan,New Age,09/13/2011,
2620,Memories [40th Anniversary Tour Edition] [CD],Richard Clayderman,Easy Listening,10/27/2017,
2621,Winds of Devotion [2008 Reissue] [CD],Peter Kater,New Age,01/29/2008,
2622,From Night to the Edge of Day [CD],Azam Ali,Classical,04/12/11,
2623,Tagtraume [CD],Various Artists,New Age,02/17/2003,
2624,Orenda [CD],Joanne Shenandoah,New Age,08/25/1998,
2625,Mantralove [CD],Miten,New Age,09/30/2013,
2626,They Were Here [CD],Jennifer Grais,New Age,02/16/2018,
2627,Flamenco Fantasia: Tradition [CD],Romero/Torea,New Age,02/04/94,
2628,Heartbeat Souldream [CD],Artful Touch,New Age,04/22/2008,
2629,Gypsy Moon [CD],Priyo,World,05/22/2007,
2630,Mum: Inspiring Notes [CD],Peter Samuels,New Age,01/19/2018,
2631,Desert Realms [CD],Rudy Adrian,New Age,10/14/2008,
2632,Jarrell's Cove [CD],Elizabeth Naccarato,New Age,02/09/99,
2633,Beatutiful Nature [CD],Various Artists,New Age,06/04/13,
2634,Music for Brainwave Massage [CD],Jeffrey D. Thompson,New Age,03/14/2006,
2635,Spa Dreams [CD],Dean Evenson,New Age,02/13/2007,
2636,Flamenco: A Windham Hill Guitar Collection [CD],Various Artists,World,06/25/2002,
2637,Voices Across the Canyon [CD],Various Artists,New Age,05/14/1996,
2638,Yoga Groove [CD],Various Artists,New Age,12/27/2011,
2639,Warrior Magician [CD],Robert Mirabal,World,10/15/1996,
2640,Mysts of Avalon [CD],Llewellyn,New Age,05/25/2004,
2641,Joy is Now [CD],Snatam Kaur,New Age,10/14/2008,
2642,Live at the Acropolis [CD],Yanni,New Age,05/15/2012,
2643,Celtic Spirit [CD],Mark Britten,New Age,07/22/2014,
2644,A New Hallelujah [CD],Michael W. Smith,Gospel & Christian,10/28/2008,
2645,Calling the Spirits [CD],Sean Johnson,World,09/07/12,
2646,Impressions [LP] - VINYL,Lunatic Soul,Electronic/Dance,11/21/2011,
2647,Peace of Mind [CD],Steven Halpern,New Age,06/12/07,
2648,Pacific Surf [DVD],Ron Roy,New Age,01/04/00,
2649,Grischunit [CD],Corin Curschellas,New Age,09/09/08,
2650,Guitar Greats: The Best of New Flamenco [CD],Various Artists,New Age,07/25/2000,
2651,Early Man [CD],Steve Roach,New Age,03/13/2001,
2652,Full Spectrum Sound Healing [CD],Alex Theory,New Age,05/04/10,
2653,Both Sides Now [CD],Miranda Sage,New Age,05/13/2011,
2654,Jardin Secret [CD],Various Artists,New Age,03/10/17,
2655,Nature's Fantasies [CD],Malaysian Pale,Electronic/Dance,10/16/1991,
2656,Keeper of Holy Grail: Sacred Attunements Through [CD],Richard Shulman,New Age,03/08/06,
2657,Stay Hungry [CD],Twisted Sister,Pop,10/25/1990,
2658,Forever [Digital Download Card] [LP] - VINYL,Code Orange,Pop,01/13/2017,
2659,Behind the Sun [LP] - VINYL,Eric Clapton,Pop,05/25/2010,
2660,Ultraviolence [LP] - VINYL,Lana Del Rey,Pop,06/17/2014,4.6
2661,This Is My Town: Songs of New York [CD],Barry Manilow,Jazz,04/21/2017,5
2662,The Best of Eddie Money [CD],Eddie Money,Pop,07/24/2001,5
2663,Disclaimer [CD],Seether,Pop,06/15/2004,
2664,Mötley Crüe [Bonus Tracks] [CD] [PA],Mötley Crüe,Pop,09/30/2008,4
2665,Can't Take Me Home [CD],P!nk,Pop,04/04/00,5
2666,Forever! [CD],(hed) p.e.,Pop,07/22/2016,4.2
2667,Digital Vein [CD],David Cook,Pop,09/18/2015,4.8
2668,50 Years of Blonde on Blonde [CD],Old Crow Medicine Show,Country,04/28/2017,4.5
2669,When the Morning Comes [CD],A Great Big World,Pop,11/13/2015,3.9
2670,Alive and Burning [Only @ Best Buy] [Blu-Ray Disc],Black Veil Brides,Pop,07/10/15,4.4
2671,The 20/20 Experience: The Complete Experience [CD] [PA],Justin Timberlake,Pop,09/30/2013,4.4
2672,The Vietnam War: A Film by Ken Burns & Lynn Novick [Original TV Soundtrack] [CD],Original Soundtrack,Pop,09/15/2017,5
2673,Continuum [Revised] [LP] - VINYL,John Mayer,Pop,04/22/2008,4.6
2674,Feel the Burn [CD],Blackburner,Electronic/Dance,04/10/12,
